title,positionInfo,model,area,direction,zhuangxiu,floor,create_time,floor_type,totalPrice,unitPrice
迎宾苑中间楼层，简装修满5年。,迎宾苑镬子山庄迎宾苑,,,,,,,,219,"19,236"
中庆润泽院 3室2厅 南,中庆润泽院,,,,,,,,210,"25,651"
太平桥社区 4室2厅 南 北,太平桥社区,,,,,,,,315,"18,820"
迎春路，采光好，配套齐全，满五年唯一住房,春晖社区,,,,,,,,152,"26,723"
此房满五年，采光视野好，地铁口，精装，户型正,华庭云顶,,,,,,,,209,"16,674"
俯瞰山河 环境优美 寄情于山水之间 忘却城市喧嚣,云水山居,,,,,,,,180,"15,446"
位置不错！视野也是开阔！采光充足，宋都品质！,宋都怀石雅苑,,,,,,,,400,"30,347"
紫云山庄新出地铁口精装修2层房源,紫云山庄,,,,,,,,137,"31,215"
房子是东边套，带露台，融创开发，人车分流,融创微风之城,4室2厅,150.24平米,南 北,毛坯,下叠(共3层),板楼,叠拼别墅,430,"28,621"
鹿山新城，2021年新交付，精装修带地暖,阳光城山水悦江府,,,,,,,,310,"26,327"
阳光城品质 电梯洋房 三开间朝南全明户型 配套齐全,阳光城悦景湾,,,,,,,,230,"23,374"
小区为人车分流，共分为五期开发，莱蒙物业，次新房,融创微风之城,,,,,,,,185,"20,250"
3期下叠排 次新房 带两层地下室 南花园 户型方正,融创微风之城,,,,,,,,420,"31,290"
微风之城4房2卫西边套 看房方便 中上楼层视野好,融创微风之城,,,,,,,,265,"19,135"
联排东边套，朝南大花园，有双车位，视野开阔,万科玖望,4室2厅,179.34平米,南 北,毛坯,3层,塔楼,双拼别墅,750,"41,821"
肖邦东区 电梯房 高楼层   边套好户型,现代肖邦,,,,,,,,286,"20,207"
融创开发 上叠排自带电梯 带大露台 人车分流,融创微风之城,4室3厅,147.37平米,南,毛坯,上叠(共4层),板楼,叠拼别墅,420,"28,500"
俯瞰野生动物园全景，好楼层一室小户型,富春硅谷,,,,,,,,72,"21,423"
品质小区，排屋区，上叠排，毛坯，带大阁楼,九龙仓雍景山,,,,,,,,300,"26,573"
天创园  天然的氧气吧  环境优美  适合居住,天创园,,,,,,,,68,"15,302"
麓园 5室2厅 南,麓园,,,,,,,,500,"38,685"
九龙仓雍景山 3室2厅 西南,九龙仓雍景山,3室2厅,113.7平米,西南,简装,5层,板楼,联排别墅,320,"28,145"
富宸嘉苑 4室2厅 南,富宸嘉苑,,,,,,,,335,"24,341"
富阳东洲逸城精装修带地暖大三房，满5年无增值税。,逸城,,,,,,,,228,"16,593"
野生动物园旁，次新小区，中高楼层，精致装修,野风春晓,,,,,,,,205,"23,320"
银湖单价2万的联排 绿城物业  有天有地  欢迎您的品鉴,富春红郡,4室2厅,314.45平米,南,简装,3层,板楼,联排别墅,650,"20,672"
野风精装修2房 满5次新房 诚心出售,野风春晓,,,,,,,,170,"23,536"
240万的装修，边套，大花园，全屋空调地暖，套房设计,万科君望,3室2厅,174.52平米,南,精装,1层,塔楼,联排别墅,998,"57,186"
联排东边套，大花园，100方地下室，双车位，满五年,三江鸣翠蓝湾,4室2厅,219.66平米,东南,简装,3层,板楼,联排别墅,600,"27,315"
施家园花苑北区 4室2厅 南,施家园花苑北区,,,,,,,,248,"16,271"
颐景山庄 2室2厅 南,颐景山庄,,,,,,,,168,"19,777"
银湖野风秋雅，好楼层三室两卫出售,野风秋雅,,,,,,,,200,"22,656"
鸣翠桃源 来源阁  边套 装修好房源,三江鸣翠桃源,,,,,,,,225,"16,892"
次新小区 楼层好 环境好 位置好 业主诚心出售,云水山居,,,,,,,,150,"15,144"
地铁口排屋，小区全新，地铁6号线就在小区口,和昌云栖玖著,4室2厅,138.37平米,南 北,毛坯,3层,板楼,独栋别墅,620,"44,808"
宋都江宸府118.73方320万,宋都江宸府,,,,,,,,328,"27,626"
次新小区，地铁6号线旁，安静适宜居住,和昌云栖玖著,4室2厅,138.97平米,南,毛坯,3层,暂无数据,联排别墅,600,"43,175"
真正的地铁口好房，采光充足，环境优美，交通便利,和昌云栖玖著,4室2厅,167.04平米,东 南,毛坯,3层,板楼,联排别墅,1000,"59,866"
绿城中式联排 带电梯井双车位 位置好视野开阔,富春玫瑰园,4室2厅,255.22平米,南,毛坯,3层,板塔结合,联排别墅,950,"37,223"
绿城中式大宅 花园1100方 实用面积1500方 六车位,富春玫瑰园,6室3厅,816平米,南,毛坯,3层,板塔结合,联排别墅,6500,"79,657"
